Site,Transect type,Date,Transect No.,Section,Habitat type,Temperature,Relative Humidity,GPS Start,GPS End,Start Time,End Time,Collector,Notes
Cold Spring Harbor,Trail,Jun/02/2025,25-1010,1,Leaf Litter,62,57.7,"40.8663737, -74.4600287","40.8654476, -73.4602634",8:20 AM,8:30 AM,Noah Edelman,
Cold Spring Harbor,Trail,Jun/02/2025,25-1010,2,Unmaintained herbaceous and leaf litter,62,57.7,"40.8663737, -74.4600287","40.8654476, -73.4602634",8:20 AM,8:30 AM,Noah Edelman,
Cold Spring Harbor,Trail,Jun/02/2025,25-1010,3,Unmaintained herbaceous,62,57.7,"40.8663737, -74.4600287","40.8654476, -73.4602634",8:20 AM,8:30 AM,Noah Edelman,
Cold Spring Harbor,Trail,Jun/02/2025,25-1010,4,Unmaintained herbaceous,62,57.7,"40.8663737, -74.4600287","40.8654476, -73.4602634",8:20 AM,8:30 AM,Noah Edelman,
Cold Spring Harbor,Trail,Jun/02/2025,25-1010,5,Unmaintained herbaceous,62,57.7,"40.8663737, -74.4600287","40.8654476, -73.4602634",8:20 AM,8:30 AM,Noah Edelman,
Cold Spring Harbor,Trail,Jun/02/2025,25-1010,6,Unmaintained herbaceous,62,57.7,"40.8663737, -74.4600287","40.8654476, -73.4602634",8:20 AM,8:30 AM,Noah Edelman,
Cold Spring Harbor,Trail,Jun/02/2025,25-1010,7,Unmaintained herbaceous,62,57.7,"40.8663737, -74.4600287","40.8654476, -73.4602634",8:20 AM,8:30 AM,Noah Edelman,
Cold Spring Harbor,Trail,Jun/02/2025,25-1010,8,Unmaintained herbaceous,62,57.7,"40.8663737, -74.4600287","40.8654476, -73.4602634",8:20 AM,8:30 AM,Noah Edelman,
Cold Spring Harbor,Trail,Jun/02/2025,25-1010,9,Unmaintained herbaceous,62,57.7,"40.8663737, -74.4600287","40.8654476, -73.4602634",8:20 AM,8:30 AM,Noah Edelman,
Cold Spring Harbor,Trail,Jun/02/2025,25-1010,10,Unmaintained herbaceous and leaf litter,62,57.7,"40.8663737, -74.4600287","40.8654476, -73.4602634",8:20 AM,8:30 AM,Noah Edelman,
Cold Spring Harbor,Interior,Jun/02/2025,25-1011,1,Leaf Litter,62.4,52.5,"40.8644395, -73.4603650","40.8662836, -73.4602335",8:32 AM,8:57 AM,Noah Edelman,
Cold Spring Harbor,Interior,Jun/02/2025,25-1011,2,Unmaintained herbaceous and leaf litter,62.4,52.5,"40.8644395, -73.4603650","40.8662836, -73.4602335",8:32 AM,8:57 AM,Noah Edelman,
Cold Spring Harbor,Interior,Jun/02/2025,25-1011,3,Unmaintained herbaceous and leaf litter,62.4,52.5,"40.8644395, -73.4603650","40.8662836, -73.4602335",8:32 AM,8:57 AM,Noah Edelman,
Cold Spring Harbor,Interior,Jun/02/2025,25-1011,4,Unmaintained herbaceous,62.4,52.5,"40.8644395, -73.4603650","40.8662836, -73.4602335",8:32 AM,8:57 AM,Noah Edelman,
Cold Spring Harbor,Interior,Jun/02/2025,25-1011,5,Unmaintained herbaceous,62.4,52.5,"40.8644395, -73.4603650","40.8662836, -73.4602335",8:32 AM,8:57 AM,Noah Edelman,
Cold Spring Harbor,Interior,Jun/02/2025,25-1011,6,Unmaintained herbaceous,62.4,52.5,"40.8644395, -73.4603650","40.8662836, -73.4602335",8:32 AM,8:57 AM,Noah Edelman,
Cold Spring Harbor,Interior,Jun/02/2025,25-1011,7,Unmaintained herbaceous and leaf litter,62.4,52.5,"40.8644395, -73.4603650","40.8662836, -73.4602335",8:32 AM,8:57 AM,Noah Edelman,
Cold Spring Harbor,Interior,Jun/02/2025,25-1011,8,Unmaintained herbaceous and leaf litter,62.4,52.5,"40.8644395, -73.4603650","40.8662836, -73.4602335",8:32 AM,8:57 AM,Noah Edelman,
Cold Spring Harbor,Interior,Jun/02/2025,25-1011,9,Unmaintained herbaceous and leaf litter,62.4,52.5,"40.8644395, -73.4603650","40.8662836, -73.4602335",8:32 AM,8:57 AM,Noah Edelman,
Cold Spring Harbor,Interior,Jun/02/2025,25-1011,10,Unmaintained herbaceous and leaf litter,62.4,52.5,"40.8644395, -73.4603650","40.8662836, -73.4602335",8:32 AM,8:57 AM,Noah Edelman,Lost Vial with single tick in it
