Transect No,Species,Stage,Sex (if adult)
SL-0008,Amblyomma americanum,Nymph,
SL-0008,Haemaphysalis longicornis,Nymph,
SL-0008,Haemaphysalis longicornis,Nymph,
SL-0008,Haemaphysalis longicornis,Nymph,
SL-0008,Haemaphysalis longicornis,Nymph,
SL-0007,Haemaphysalis longicornis,Nymph,
SL-0007,Haemaphysalis longicornis,Nymph,
SL-0007,Haemaphysalis longicornis,Nymph,
SL-0007,Amblyomma americanum,Nymph,
SL-0007,Ixodes scapularis,Nymph,
SL-0007,Ixodes scapularis,Nymph,
25-0031,Haemaphysalis longicornis,Nymph,
25-0031,Haemaphysalis longicornis,Nymph,
25-0031,Haemaphysalis longicornis,Nymph,
25-0031,Haemaphysalis longicornis,Nymph,
25-0031,Amblyomma americanum,Nymph,
25-0031,Amblyomma americanum,Nymph,
25-0031,Ixodes scapularis,Adult,Male
25-0031,Ixodes scapularis,Nymph,
25-1033,Haemaphysalis longicornis,Nymph,
25-1033,Haemaphysalis longicornis,Nymph,
25-1020,Ixodes scapularis,Nymph,
25-1010,Ixodes scapularis,Nymph,
25-0012,Ixodes scapularis,Adult,Female
25-0012,Ixodes scapularis,Nymph,
25-0012,Ixodes scapularis,Nymph,
25-0012,Ixodes scapularis,Nymph,
25-0012,Ixodes scapularis,Nymph,
25-0012,Ixodes scapularis,Nymph,
SL-0011,Ixodes scapularis,Nymph,
SL-0011,Ixodes scapularis,Nymph,
25-0037,Ixodes scapularis,Nymph,
25-2021,Haemaphysalis longicornis,Nymph,
25-2021,Haemaphysalis longicornis,Nymph,
25-2021,Haemaphysalis longicornis,Nymph,
25-2021,Haemaphysalis longicornis,Nymph,
25-2021,Haemaphysalis longicornis,Nymph,
25-2021,Amblyomma americanum,Nymph,
25-2021,Amblyomma americanum,Nymph,
25-2021,Amblyomma americanum,Nymph,
25-2024,_,,
25-2023,Ixodes scapularis,Nymph,
25-1053,Amblyomma americanum,Nymph,
25-1053,Ixodes scapularis,Nymph,
25-1050,Ixodes scapularis,Nymph,
25-0038,Ixodes scapularis,Nymph,
25-0038,Ixodes scapularis,Nymph,
25-0038,Ixodes scapularis,Nymph,
25-1040,Haemaphysalis longicornis,Nymph,
25-1040,Amblyomma americanum,Nymph,
25-1040,Ixodes scapularis,Nymph,
25-1040,Ixodes scapularis,Nymph,
25-1041,Amblyomma americanum,Nymph,
25-1041,Amblyomma americanum,Nymph,
25-1041,Amblyomma americanum,Nymph,
25-1041,Haemaphysalis longicornis,Nymph,
25-1041,Haemaphysalis longicornis,Nymph,
25-0033,Haemaphysalis longicornis,Larva,
25-0033,Haemaphysalis longicornis,Larva,
25-0033,Haemaphysalis longicornis,Larva,
25-0033,Amblyomma americanum,Nymph,
25-0033,Amblyomma americanum,Nymph,
25-0033,Haemaphysalis longicornis,Nymph,
25-0033,Haemaphysalis longicornis,Nymph,
25-0033,Haemaphysalis longicornis,Nymph,
25-0033,Haemaphysalis longicornis,Nymph,
25-0033,Haemaphysalis longicornis,Nymph,
25-0033,Haemaphysalis longicornis,Nymph,
