Transect No.,County,Site,Site function,Transect type,Drag round,Year,Date,Habitat type CONCAT,Temp (F),RH (%),Longitude Start,Latitude Start,GPS Start,GPS End,Start Time,End Time,Collectors,Amblyomma americanum ADULT,Amblyomma americanum NYMPH,Amblyomma americanum LARVA,Amblyomma maculatum ADULT,Amblyomma maculatum NYMPH,Amblyomma maculatum LARVA,Dermacentor albipictus ADULT,Dermacentor albipictus NYMPH,Dermacentor albipictus LARVA,Dermacentor variabilis ADULT,Dermacentor variabilis NYMPH,Dermacentor variabilis LARVA,Haemaphysalis leporispalustris ADULT,Haemaphysalis leporispalustris NYMPH,Haemaphysalis leporispalustris LARVA,Haemaphysalis longicornis ADULT,Haemaphysalis longicornis NYMPH,Haemaphysalis longicornis LARVA,Ixodes scapularis ADULT,Ixodes scapularis NYMPH,Ixodes scapularis LARVA,Rhipicephalus sanguineus ADULT,Rhipicephalus sanguineus NYMPH,Rhipicephalus sanguineus LARVA,Unknown ADULT,Unknown NYMPH,Unknown LARVA,Unknown UNKNOWN,Total,Overall Notes
20009,Queens,Alley Pond Park,Mixed use,Edge,1,2023,Jun/13/2023,"Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous",66,70,-73.73905,40.74315,"40.74315, -73.73905","40.74293, -73.74020",8:15 AM,8:25 AM,Rob Gullery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20010,Queens,Alley Pond Park,Mixed use,Edge,1,2023,Jun/13/2023,"Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous",66,70,-73.74163,40.74389,"40.74389, -73.74163","40.74313, -73.74259",8:25 AM,8:35 AM,Rob Gullery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-3045,Queens,Alley Pond Park,Mixed Use,Trail,1,2023,Jun/13/2023,"Unmaintained herbaceous, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",64,72,-73.7398672,40.7435217,"40.7435217, -73.7398672","40.7433393, -73.7407953",8:03 AM,8:22 AM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"paved, gravel trail"
23-3046A,Queens,Alley Pond Park,Mixed Use,Interior,1,2023,Jun/13/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, , , ,",64,72,-73.7403593,40.7436929,"40.7436929, -73.7403593","40.7433406,-73.7407420",8:26 AM,8:40 AM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"unmaintained herbacious, fairly damp from previous day's rain, tracts 7-10 brush too thick and sharp to continue"
23-6045,Queens,Alley Pond Park,Mixed use,Trail,1,2023,Jun/13/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",64,72,-73.7424044,40.7438413,"40.7438413, -73.7424044","40.7444354, -73.7427841",8:12 AM,8:24 AM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
23-6046,Queens,Alley Pond Park,Mixed use,Interior,1,2023,Jun/13/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",64,72,-73.7430789,40.7443938,"40.7443938, -73.7430789","40.7434475, -73.7431100",8:31 AM,8:49 AM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,damo ground
23-7044,Queens,Alley Pond Park,Mixed use,Trail,1,2023,Jun/13/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous and leaf litter",64,72,-73.73966,40.74398,"40.74398, -73.73966","40.74454, -73.73984",8:03 AM,8:16 AM,Aidyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-7045,Queens,Alley Pond Park,Mixed use,Interior,1,2023,Jun/13/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",64,72,-73.73992,40.74447,"40.74447, -73.73992","40.74407, -73.73987",8:18 AM,8:33 AM,Aidyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-0141,Queens,Alley Pond Park,Mixed Use,,2,2023,Jul/12/2023,", , , , , , , , ,",86.5,52.5,-73.7369,40.74288,"40.74288, -73.73690","40.74278, -73.73575",9:52 AM,10:08 AM,Marie Lilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
23-2102,Queens,Alley Pond Park,Mixed Use,,2,2023,Jul/12/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",79,70,-73.73899,40.74352,"40.74352, -73.73899","40.74358, -73.74069",9:55 AM,10:15 AM,Rob Gullery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
